,pf_lon,pf_lat,saf_lon,saf_lat
76,21.302764198218114,-50.71355293863048,18.85845816108722,-45.817800833344236
77,21.600254184066706,-50.680365165530915,19.075295498767073,-45.77216063592638
78,21.866920787155085,-50.650328323085034,19.308628895678694,-45.73346260461492
79,22.133587580978325,-50.62218930201702,19.541962101855454,-45.7055956843368
80,22.400254184066704,-50.59695841630966,19.782304041821906,-45.68707632347111
81,22.69748998584859,-50.57085714135946,20.048970835645147,-45.67342410460658
82,22.997489985848592,-50.55010834536603,20.315637438733525,-45.677048935483036
83,23.297489985848593,-50.53534682407544,20.58783666721812,-45.691151653690746
84,23.59748998584859,-50.524213724126746,20.887836667218117,-45.709785249555274
85,23.89748998584859,-50.51520261439818,21.187836667218118,-45.732096246782774
86,24.19748998584859,-50.506830642412865,21.48781098309228,-45.75534873396539
87,24.5,-50.49787690530367,21.787810983092278,-45.77949308298649
